functionType,MatrixSize,BlockSize,Real Time
OnMult,600,N/A,0.183279
OnMult,600,N/A,0.181957
OnMult,600,N/A,0.195306
OnMult,600,N/A,0.170097
OnMult,600,N/A,0.174955
OnMult,1000,N/A,1.042732
OnMult,1000,N/A,1.044966
OnMult,1000,N/A,1.093526
OnMult,1000,N/A,1.073970
OnMult,1000,N/A,1.269279
OnMult,1400,N/A,4.847962
OnMult,1400,N/A,4.918799
OnMult,1400,N/A,4.865777
OnMult,1400,N/A,4.914203
OnMult,1400,N/A,5.071848
OnMult,1800,N/A,10.711724
OnMult,1800,N/A,9.957633
OnMult,1800,N/A,10.949025
OnMult,1800,N/A,10.351045
OnMult,1800,N/A,10.660267
OnMult,2200,N/A,20.181223
OnMult,2200,N/A,19.105407
OnMult,2200,N/A,22.576706
OnMult,2200,N/A,19.380247
OnMult,2200,N/A,19.181522
OnMult,2600,N/A,35.997908
OnMult,2600,N/A,34.476446
OnMult,2600,N/A,31.542966
OnMult,2600,N/A,33.090528
OnMult,2600,N/A,32.438590
OnMult,3000,N/A,50.241195
OnMult,3000,N/A,52.329461
OnMult,3000,N/A,48.934058
OnMult,3000,N/A,53.504300
OnMult,3000,N/A,62.228717
OnMultLine,600,N/A,0.130482
OnMultLine,600,N/A,0.113980
OnMultLine,600,N/A,0.109686
OnMultLine,600,N/A,0.102954
OnMultLine,600,N/A,0.101649
OnMultLine,1000,N/A,0.685077
OnMultLine,1000,N/A,0.713123
OnMultLine,1000,N/A,0.739448
OnMultLine,1000,N/A,0.883708
OnMultLine,1000,N/A,0.827834
OnMultLine,1400,N/A,1.981783
OnMultLine,1400,N/A,1.867313
OnMultLine,1400,N/A,1.796210
OnMultLine,1400,N/A,1.726029
OnMultLine,1400,N/A,1.563933
OnMultLine,1800,N/A,3.513824
OnMultLine,1800,N/A,3.504305
OnMultLine,1800,N/A,3.391504
OnMultLine,1800,N/A,3.265658
OnMultLine,1800,N/A,3.397978
OnMultLine,2200,N/A,6.452094
OnMultLine,2200,N/A,6.637538
OnMultLine,2200,N/A,6.207393
OnMultLine,2200,N/A,6.425593
OnMultLine,2200,N/A,6.698961
OnMultLine,2600,N/A,11.411145
OnMultLine,2600,N/A,10.333024
OnMultLine,2600,N/A,10.627656
OnMultLine,2600,N/A,11.802816
OnMultLine,2600,N/A,10.411823
OnMultLine,3000,N/A,15.829092
OnMultLine,3000,N/A,17.643734
OnMultLine,3000,N/A,18.281735
OnMultLine,3000,N/A,16.326337
OnMultLine,3000,N/A,16.585065
OnMultBlock,600,128,0.171456
OnMultBlock,600,128,0.162766
OnMultBlock,600,128,0.182774
OnMultBlock,600,128,0.182879
OnMultBlock,600,128,0.181015
OnMultBlock,600,256,0.178410
OnMultBlock,600,256,0.179086
OnMultBlock,600,256,0.190945
OnMultBlock,600,256,0.176256
OnMultBlock,600,256,0.177028
OnMultBlock,600,512,0.194941
OnMultBlock,600,512,0.194418
OnMultBlock,600,512,0.192664
OnMultBlock,600,512,0.190661
OnMultBlock,600,512,0.191781
OnMultBlock,1000,128,0.816399
OnMultBlock,1000,128,0.820418
OnMultBlock,1000,128,0.811638
OnMultBlock,1000,128,0.826341
OnMultBlock,1000,128,0.818948
OnMultBlock,1000,256,0.827608
OnMultBlock,1000,256,0.850813
OnMultBlock,1000,256,0.857656
OnMultBlock,1000,256,0.840317
OnMultBlock,1000,256,0.859915
OnMultBlock,1000,512,0.916014
OnMultBlock,1000,512,0.911950
OnMultBlock,1000,512,0.967569
OnMultBlock,1000,512,0.944241
OnMultBlock,1000,512,0.980440
OnMultBlock,1400,128,2.334989
OnMultBlock,1400,128,2.242171
OnMultBlock,1400,128,2.215060
OnMultBlock,1400,128,2.213876
OnMultBlock,1400,128,2.206700
OnMultBlock,1400,256,2.257919
OnMultBlock,1400,256,2.227013
OnMultBlock,1400,256,2.245609
OnMultBlock,1400,256,2.263189
OnMultBlock,1400,256,2.311830
OnMultBlock,1400,512,2.594347
OnMultBlock,1400,512,2.456295
OnMultBlock,1400,512,2.564007
OnMultBlock,1400,512,2.656506
OnMultBlock,1400,512,2.449951
OnMultBlock,1800,128,4.800063
OnMultBlock,1800,128,4.697169
OnMultBlock,1800,128,4.711703
OnMultBlock,1800,128,4.637714
OnMultBlock,1800,128,4.594680
OnMultBlock,1800,256,4.657984
OnMultBlock,1800,256,4.646980
OnMultBlock,1800,256,4.678316
OnMultBlock,1800,256,4.669333
OnMultBlock,1800,256,4.687660
OnMultBlock,1800,512,5.715466
OnMultBlock,1800,512,5.572403
OnMultBlock,1800,512,5.195315
OnMultBlock,1800,512,5.351141
OnMultBlock,1800,512,6.168942
OnMultBlock,2200,128,9.162183
OnMultBlock,2200,128,9.230042
OnMultBlock,2200,128,9.163030
OnMultBlock,2200,128,8.846979
OnMultBlock,2200,128,8.817282
OnMultBlock,2200,256,8.970784
OnMultBlock,2200,256,8.591873
OnMultBlock,2200,256,8.825662
OnMultBlock,2200,256,8.597778
OnMultBlock,2200,256,8.645273
OnMultBlock,2200,512,10.962623
OnMultBlock,2200,512,10.945969
OnMultBlock,2200,512,10.216877
OnMultBlock,2200,512,10.208094
OnMultBlock,2200,512,10.057926
OnMultBlock,2600,128,14.466083
OnMultBlock,2600,128,14.059428
OnMultBlock,2600,128,13.838926
OnMultBlock,2600,128,13.788462
OnMultBlock,2600,128,13.900702
OnMultBlock,2600,256,14.230613
OnMultBlock,2600,256,14.368530
OnMultBlock,2600,256,14.299924
OnMultBlock,2600,256,13.975411
OnMultBlock,2600,256,14.425635
OnMultBlock,2600,512,15.858750
OnMultBlock,2600,512,15.470433
OnMultBlock,2600,512,15.512420
OnMultBlock,2600,512,17.235744
OnMultBlock,2600,512,16.092036
OnMultBlock,3000,128,21.356922
OnMultBlock,3000,128,21.329216
OnMultBlock,3000,128,21.207673
OnMultBlock,3000,128,21.631065
OnMultBlock,3000,128,21.690815
OnMultBlock,3000,256,21.463087
OnMultBlock,3000,256,21.458682
OnMultBlock,3000,256,21.911519
OnMultBlock,3000,256,23.020748
OnMultBlock,3000,256,21.992331
OnMultBlock,3000,512,24.972333
OnMultBlock,3000,512,24.060246
OnMultBlock,3000,512,25.371903
OnMultBlock,3000,512,25.134427
OnMultBlock,3000,512,24.720014
